"month(e.created_at)","Location"
7,POINT(22.017516 50.019305833333)
7,POINT(21.9986025 50.033642333333)
7,POINT(22.0042795 50.037281833333)
7,POINT(22.004450333333 50.040341666667)
7,POINT(21.990826333333 50.031538166667)
7,POINT(21.994183 50.0381015)
7,POINT(22.007853666667 50.025705)
7,POINT(21.998962333333 50.035575833333)
7,POINT(21.999247833333 50.047269166667)
7,POINT(22.0005955 50.0296205)
7,POINT(21.9975705 50.035301833333)
7,POINT(21.994183666667 50.038086166667)
7,POINT(21.9942405 50.038085833333)
7,POINT(21.999645 50.032258)
7,POINT(21.9989695 50.041681166667)
7,POINT(21.999006 50.041665333333)
7,POINT(21.994609166667 50.038412333333)
7,POINT(22.005487833333 50.0383295)
7,POINT(21.995356333333 50.039387666667)
7,POINT(22.023164833333 50.029736)
7,POINT(22.006300166667 50.038852166667)
7,POINT(22.004848333333 50.033001666667)
7,POINT(22.020843333333 50.028633833333)
7,POINT(21.991216166667 50.031356)
7,POINT(22.023202 50.0297285)
7,POINT(22.0231365 50.029763)
7,POINT(21.9942235 50.0380715)
7,POINT(21.994117833333 50.038082833333)
7,POINT(22.003306666667 50.038519833333)
7,POINT(21.999292 50.047253)
7,POINT(21.994216666667 50.038090833333)
7,POINT(21.991583 50.031427333333)
7,POINT(21.993509166667 50.040156833333)
7,POINT(21.995611666667 50.038749)
7,POINT(22.0189675 50.0342275)
7,POINT(21.9984935 50.036521833333)
7,POINT(22.012950166667 50.026537333333)
7,POINT(22.013697666667 50.026088666667)
7,POINT(22.006351833333 50.037298666667)
7,POINT(21.998166333333 50.040076166667)
7,POINT(21.994195166667 50.038081333333)
7,POINT(21.996285333333 50.037870333333)
7,POINT(22.003638833333 50.031417333333)
7,POINT(21.991368833333 50.031314166667)
7,POINT(22.004764833333 50.030579666667)
7,POINT(21.998109 50.040130833333)
7,POINT(22.003611833333 50.037528166667)
7,POINT(22.0125605 50.0190815)
7,POINT(22.003564333333 50.031320166667)
7,POINT(22.001459666667 50.037120333333)
7,POINT(22.002412333333 50.0397965)
7,POINT(22.0024555 50.0397395)
7,POINT(22.002466666667 50.039727833333)
7,POINT(22.004799833333 50.0305585)
7,POINT(21.999143 50.0396725)
7,POINT(22.003803666667 50.0383155)
7,POINT(22.00382 50.038316166667)
7,POINT(22.002856166667 50.037594166667)
7,POINT(22.004701 50.030474333333)
7,POINT(21.993977 50.038244666667)
7,POINT(22.004783166667 50.032537166667)
7,POINT(22.004933 50.030677666667)
7,POINT(22.000956333333 50.034443833333)
7,POINT(21.993758333333 50.0380145)
7,POINT(21.993790666667 50.038263833333)
7,POINT(22.0047535 50.030570833333)
7,POINT(22.004772166667 50.030437333333)
7,POINT(22.004809166667 50.03255)
7,POINT(22.021907666667 50.037941833333)
7,POINT(21.999223333333 50.040250333333)
7,POINT(22.009039666667 50.029566666667)
7,POINT(22.009088833333 50.02954)
7,POINT(21.994052166667 50.038126666667)
7,POINT(22.0155895 50.027134)
7,POINT(22.019158 50.0282035)
7,POINT(22.018916333333 50.030376333333)
7,POINT(21.996598166667 50.0235265)
7,POINT(21.991387833333 50.024536833333)
7,POINT(22.001604833333 50.037241166667)
7,POINT(22.000615666667 50.0296335)
7,POINT(22.003800333333 50.037311166667)
7,POINT(22.003561666667 50.037283833333)
7,POINT(22.000965666667 50.034443333333)
7,POINT(22.0027545 50.038683333333)
7,POINT(22.0026615 50.039528333333)
7,POINT(22.012792833333 50.028078166667)
7,POINT(22.003024 50.0376475)
7,POINT(22.012930333333 50.019079333333)
7,POINT(22.003370666667 50.037545833333)
7,POINT(22.00374 50.037245166667)
7,POINT(22.012904333333 50.019169166667)
7,POINT(22.002784 50.038077)
7,POINT(21.995545 50.023332333333)
7,POINT(22.006065 50.038381833333)
7,POINT(22.012927833333 50.028171166667)
7,POINT(22.003737666667 50.0372195)
7,POINT(22.0089325 50.029647166667)
7,POINT(22.006009333333 50.018503)
7,POINT(22.0058775 50.0186365)
7,POINT(21.995888166667 50.038437833333)
7,POINT(21.993982833333 50.038244166667)
7,POINT(22.003803333333 50.037190833333)
7,POINT(21.9975755 50.038898)
7,POINT(21.997539333333 50.035206)
7,POINT(22.0060085 50.024572833333)
7,POINT(22.006216166667 50.033461833333)
7,POINT(22.006581 50.042686333333)
7,POINT(22.022298833333 50.038123)
7,POINT(21.994075833333 50.0380785)
7,POINT(21.997793666667 50.036544666667)
7,POINT(22.003162666667 50.028435)
7,POINT(22.0075025 50.024416166667)
7,POINT(22.0128915 50.0284235)
7,POINT(22.0128915 50.0284235)
7,POINT(22.0128915 50.0284235)
7,POINT(22.0128915 50.0284235)
7,POINT(21.999259333333 50.047219166667)
7,POINT(22.0114805 50.028249833333)
7,POINT(21.999240166667 50.047187)
7,POINT(22.003097333333 50.028470333333)
7,POINT(22.0113435 50.028105)
7,POINT(22.002232333333 50.037543833333)
7,POINT(22.006192666667 50.024468166667)
7,POINT(21.997161666667 50.035799833333)
7,POINT(22.012667666667 50.0281585)
7,POINT(22.002596166667 50.0374595)
7,POINT(21.995542 50.0232555)
7,POINT(22.000198833333 50.04032)
7,POINT(22.013309333333 50.0280885)
7,POINT(22.013344666667 50.018846166667)
7,POINT(22.0059965 50.0348965)
7,POINT(22.0010475 50.036263333333)
